,name,ratings
0,Wiedzmin 3: Dziki Gon,9.7
1,Zeruda no densetsu: Toki no okarina,9.6
2,Halo 2,8.7
3,Divinity: Original Sin II,8.8
4,Age of Empires II: HD Edition,8.8
5,Civilization VI,8.2
6,Total War: Shogun 2,8.1
7,Dai-Rantô Smash Brothers Deluxe,9
8,Nintendô ôru sutâ dairantô Sumasshu burazâzu,8.5
9,Donkey Kong 64,8.1
10,Banjo-Tooie,8.5
11,Star Fox 64,8.4
12,Mario Party 2,8
13,Kirby 64: The Crystal Shards,7.7
14,Hydro Thunder,7.9
15,Poketto monsutâ faiareddo,8.7
16,Fire Emblem: Rekka No Ken,8.1
17,Faia Emuburemu: Seima no Koseki,8
18,Final Fantasy Tactics Advance,7.6
19,Advance Wars 2: Black Hole Rising,7.9
20,Zeruda no Densetsu: Kamigami no Toraifôsu ando Yotsu no Tsurugi,7.6
21,Biohazard 4,9.2
22,Splinter Cell,8.3
23,Splinter Cell: Pandora Tomorrow,8.1
24,Splinter Cell: Chaos Theory,8.6
25,Metal Gear Solid: The Twin Snakes,9
26,Zeruda no densetsu: Kaze no takuto,9
27,Zeruda no densetsu Towairaito purinsesu,9.1
28,Fable,8.4
29,Zeruda no densetsu: Buresu obu za wairudo,9.5
30,Star Wars: Knights of the Old Republic,9.5
31,Crimson Skies: High Road to Revenge,7.8
32,Grand Theft Auto: San Andreas,9.4
33,MechAssault,7.7
34,Mercenaries: Playground of Destruction,8.1
35,Half-Life 2,9.4
36,Soulcalibur II,8.2
37,Call of Duty: Black Ops,8.3
38,Call of Duty: Modern Warfare 2,8.8
39,Gears of War,8.5
40,Call of Duty: Modern Warfare 3,8.1
41,Doom,8.6
42,The Banner Saga,7.7
43,Don't Starve Together,7.3
44,Star Wars: Battlefront,8.3
45,Sonikku adobenchâ 2,8.1
46,X-Men Legends,8.1
47,Shining Force II,8.1
48,Endless Legend,7.5
49,Command & Conquer: Generals Zero Hour,8.2
50,Cyberpunk 2077,8
